Symbol,Company,Sector,No Years,DGR 1Y,DGR 3Y,DGR 5Y,DGR 10Y
MMC,"Marsh & McLennan Companies, Inc.",Financials,16,17.31,15.11,11.88,11.15
UDR,"UDR, Inc.",Real Estate,16,3.36,5.41,4.66,5.27
PFG,"Principal Financial Group, Inc.",Financials,16,9.62,5.32,5.51,8.34
SGU,"Star Group, L.P.",Utilities,16,6.25,6.69,6.67,7.03
PRU,"Prudential Financial, Inc.",Financials,16,4.01,4.18,5.39,9.14
PM,Philip Morris International Inc.,Consumer Staples,16,3.12,2.66,2.79,3.17
MCO,Moody's Corporation,Financials,15,10.4,11.1,11.2,11.75
AEP,"American Electric Power Company, Inc.",Utilities,15,5.94,5.97,5.67,5.81
HD,"The Home Depot, Inc.",Consumer Discretionary,15,7.66,10.9,10.6,16.96
AIT,"Applied Industrial Technologies, Inc.",Industrials,15,5.72,3.89,3.61,4.0
AVGO,Broadcom Inc.,Information Technology,15,13.92,13.36,14.15,33.25
MGA,Magna International Inc.,Consumer Discretionary,15,3.27,3.38,5.41,9.6
STT,State Street Corporation,Financials,15,-18.94,-0.62,1.57,6.32
CPT,Camden Property Trust,Real Estate,15,3.01,6.15,5.19,4.56
EMN,Eastman Chemical Company,Materials,15,2.52,4.83,5.29,8.44
BK,The Bank of New York Mellon Corporation,Financials,15,12.66,11.05,8.57,10.44
SBUX,Starbucks Corporation,Consumer Discretionary,15,7.41,8.04,9.26,15.49
ORCL,Oracle Corporation,Information Technology,15,5.27,10.07,11.95,12.8
ETN,Eaton Corporation plc,Industrials,15,9.31,7.35,5.78,6.74
SNA,Snap-on Incorporated,Industrials,15,14.89,14.75,14.46,15.36
LII,Lennox International Inc.,Industrials,15,4.36,8.83,9.06,14.85
TRN,"Trinity Industries, Inc.",Industrials,15,7.7,10.07,11.85,12.34
TSCO,Tractor Supply Company,Consumer Discretionary,15,6.8,28.37,26.47,21.85
SYBT,"Stock Yards Bancorp, Inc.",Financials,15,3.4,3.52,3.25,7.6
NRIM,"Northrim BanCorp, Inc.",Financials,15,2.5,17.93,14.32,13.4
CUBE,CubeSmart,Real Estate,15,-22.73,1.81,3.48,10.78
CNS,"Cohen & Steers, Inc.",Financials,15,3.51,9.45,10.39,10.37
FMAO,"Farmers & Merchants Bancorp, Inc.",Financials,15,3.84,7.53,7.67,7.71
JPM,JPMorgan Chase & Co.,Financials,15,13.59,7.53,6.87,11.43
PFE,Pfizer Inc.,Health Care,15,2.44,2.51,3.14,4.92
IBOC,International Bancshares Corporation,Financials,15,4.77,4.71,4.69,9.77
UPS,"United Parcel Service, Inc.",Industrials,15,0.62,16.92,11.17,9.3
UNH,UnitedHealth Group Incorporated,Health Care,15,12.21,13.47,14.6,19.27
ROK,"Rockwell Automation, Inc.",Industrials,15,5.64,5.34,5.19,7.79
MAA,"Mid-America Apartment Communities, Inc.",Real Estate,15,5.01,12.78,8.9,7.26
PAYX,"Paychex, Inc.",Information Technology,15,10.7,13.79,9.62,10.13
KLAC,KLA Corporation,Information Technology,15,13.09,15.77,14.31,12.28
HSY,The Hershey Company,Consumer Staples,15,22.99,17.14,12.89,10.39
INGR,Ingredion Incorporated,Consumer Staples,15,-20.81,-2.93,-1.23,3.46
MKTX,MarketAxess Holdings Inc.,Financials,15,2.78,3.89,7.73,16.55
WAFD,"Washington Federal, Inc.",Financials,15,4.01,4.18,4.87,11.3
BCPC,Balchem Corporation,Materials,15,10.13,10.78,10.85,11.24
HPQ,HP Inc.,Information Technology,15,5.0,10.32,11.19,5.97
RGA,"Reinsurance Group of America, Incorporated",Financials,15,5.46,6.76,6.01,10.7
HIG,"The Hartford Financial Services Group, Inc.",Financials,15,10.61,10.39,9.98,11.33
HMN,Horace Mann Educators Corporation,Financials,15,3.04,3.13,3.42,3.99
PNC,"The PNC Financial Services Group, Inc.",Financials,15,3.28,9.49,8.45,12.86
WSBC,"WesBanco, Inc.",Financials,14,2.84,3.19,3.18,5.13
